datetime,temp,dew,humidity,precip,preciptype,snow,windspeed,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,conditions,description,icon,,holidays
1/1/2023,11,7.9,82.2,0.101,rain,0,14.2,14.6,100.5,8.7,4,10,2023-01-01T07:26:52,2023-01-01T16:56:42,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,,workday
1/2/2023,10.5,6.8,79.3,0,nothing,0,14.7,15.9,65.3,5.7,4,10,2023-01-02T07:26:59,2023-01-02T16:57:31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,holidays
1/3/2023,15.2,11.3,78.5,0,nothing,0,28.5,15.6,38.6,3.4,2,10,2023-01-03T07:27:04,2023-01-03T16:58:22,Overcast,Cloudy skies throughout the day.,cloudy,,workday
1/4/2023,15.3,12.8,85.4,0,nothing,0,22.8,15.9,32.2,2.8,2,10,2023-01-04T07:27:07,2023-01-04T16:59:14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/5/2023,13.5,7.8,70.4,0,nothing,0,20.2,15.9,71.1,6,4,10,2023-01-05T07:27:08,2023-01-05T17:00:08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/6/2023,8.9,0.1,55.1,0,nothing,0,34.1,16,60.1,5.1,4,10,2023-01-06T07:27:07,2023-01-06T17:01:03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/7/2023,6.6,-3.2,50.8,0,nothing,0,24.7,16,83.2,7.1,5,10,2023-01-07T07:27:04,2023-01-07T17:01:59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/8/2023,3.3,-2.5,66.3,0.267,rain,0,26.7,15.9,55.3,4.7,3,10,2023-01-08T07:26:58,2023-01-08T17:02:56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,,workday
1/9/2023,5.8,-1.9,61.7,0,nothing,0,27.5,15.2,113.5,10,5,10,2023-01-09T07:26:51,2023-01-09T17:03:54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,,workday
1/10/2023,4.6,-3.5,57.1,0,nothing,0,15.8,16,70.3,6.1,3,10,2023-01-10T07:26:41,2023-01-10T17:04:53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/11/2023,4.4,-0.2,72.9,0.476,rain,0,17.4,15.5,61,5.2,3,10,2023-01-11T07:26:29,2023-01-11T17:05:54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,,workday
1/12/2023,8.5,5.9,84.2,3.225,rain,0,16.8,14.9,47.2,4.2,3,10,2023-01-12T07:26:15,2023-01-12T17:06:55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,,workday
1/13/2023,9,3.2,68.3,6.331,rain,0,36.5,15.6,109.4,9.6,5,10,2023-01-13T07:25:59,2023-01-13T17:07:57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,,workday
1/14/2023,2.2,-5.2,58,0,"rain,snow",0,39.3,16,26.2,2.3,1,10,2023-01-14T07:25:41,2023-01-14T17:09:00,Overcast,Cloudy skies throughout the day.,cloudy,,workday
1/15/2023,2.4,-6.9,51.5,0,"rain,snow",0,32.7,16,120.5,10.3,5,10,2023-01-15T07:25:21,2023-01-15T17:10:04,Clear,Clear conditions throughout the day.,clear-day,,workday
1/16/2023,5.4,-8.7,39,0,"rain,snow",0,23.8,16,116.7,10.2,5,10,2023-01-16T07:24:58,2023-01-16T17:11:08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,holidays
1/17/2023,5.2,2.5,83.8,1.417,rain,0,12.9,13.8,28.2,2.5,1,10,2023-01-17T07:24:34,2023-01-17T17:12:14,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,,workday
1/18/2023,8.8,3.8,73.3,0,rain,0,23.7,14.8,114,10,5,10,2023-01-18T07:24:07,2023-01-18T17:13:19,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,,workday
1/19/2023,7,4,81.5,1.948,rain,0,16,13.5,15.9,1.4,1,10,2023-01-19T07:23:39,2023-01-19T17:14:26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,,workday
1/20/2023,7.8,0.1,61.6,0,nothing,0,37.7,13.4,94.9,8.2,4,10,2023-01-20T07:23:08,2023-01-20T17:15:33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/21/2023,5.1,-3.3,55.3,0,nothing,0,21.7,16,36.2,3.1,1,10,2023-01-21T07:22:36,2023-01-21T17:16:40,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/22/2023,3.2,0.6,83.1,5.943,rain,0,21.5,13,21.4,1.8,1,10,2023-01-22T07:22:01,2023-01-22T17:17:48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,,workday
1/23/2023,5.6,0.5,71.8,2.188,rain,0,39.3,14.9,55.8,4.7,2,10,2023-01-23T07:21:25,2023-01-23T17:18:56,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,,workday
1/24/2023,5.1,-3.5,56.3,0,nothing,0,16.6,16,119.3,10.4,5,10,2023-01-24T07:20:47,2023-01-24T17:20:05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/25/2023,4.9,1.9,81.6,12.065,rain,0,18.2,11.8,12.8,1.2,0,10,2023-01-25T07:20:06,2023-01-25T17:21:14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,,workday
1/26/2023,7.2,-0.6,60.6,0.022,rain,0,34.4,15.9,51.5,4.4,3,10,2023-01-26T07:19:24,2023-01-26T17:22:23,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,,workday
1/27/2023,3.9,-6,50.1,0,nothing,0,23.5,16,107.9,9.4,5,10,2023-01-27T07:18:40,2023-01-27T17:23:33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/28/2023,6.7,-2.9,52.2,0,nothing,0,21.3,16,112.6,9.8,5,10,2023-01-28T07:17:55,2023-01-28T17:24:42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/29/2023,7.1,1.9,70.1,0.885,rain,0,21.8,15.9,35.6,3.1,2,10,2023-01-29T07:17:07,2023-01-29T17:25:52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,,workday
1/30/2023,9.2,4.9,76.6,0,nothing,0,14,15.8,99.3,8.5,5,10,2023-01-30T07:16:18,2023-01-30T17:27:02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
1/31/2023,5.2,3.1,86.6,4.194,rain,0,23.2,14.3,14.3,1.1,1,10,2023-01-31T07:15:27,2023-01-31T17:28:12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,,workday
2/1/2023,2,-5.7,59.4,1.093,"rain,snow",1.1,24.6,14.7,130.3,11.2,6,10,2023-02-01T07:14:34,2023-02-01T17:29:21,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,,workday
2/2/2023,2.2,-5.3,59.2,0,nothing,0,18.2,16,87.7,7.5,4,10,2023-02-02T07:13:40,2023-02-02T17:30:31,Overcast,Cloudy skies throughout the day.,cloudy,,workday
2/3/2023,-0.2,-11.9,43.4,0,nothing,0,45.2,15.9,143.9,12.5,6,10,2023-02-03T07:12:44,2023-02-03T17:31:41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,,workday
2/4/2023,-4.2,-16.6,37.9,0,nothing,0,27.3,16,150.7,13.1,6,10,2023-02-04T07:11:46,2023-02-04T17:32:51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/5/2023,6.8,-5.4,42.6,0,nothing,0,28.9,16,116.1,9.9,5,10,2023-02-05T07:10:47,2023-02-05T17:34:01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/6/2023,8.7,-0.1,55,0,nothing,0,32.3,16,59.8,5.3,4,10,2023-02-06T07:09:47,2023-02-06T17:35:10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/7/2023,5.2,-0.6,67.5,0,nothing,0,18.5,15.5,99.1,8.5,4,10,2023-02-07T07:08:44,2023-02-07T17:36:20,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/8/2023,11.8,1.8,53.1,0,nothing,0,23.9,15.9,137,11.8,5,10,2023-02-08T07:07:41,2023-02-08T17:37:29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/9/2023,12.8,6.3,65.1,0,nothing,0,25.8,16,74.4,6.5,3,10,2023-02-09T07:06:36,2023-02-09T17:38:39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/10/2023,14.2,3.7,51,0,nothing,0,34.1,16,134.6,11.6,6,10,2023-02-10T07:05:29,2023-02-10T17:39:47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/11/2023,7.3,-5.2,41.3,0,nothing,0,28.5,16,149,12.8,6,10,2023-02-11T07:04:22,2023-02-11T17:40:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/12/2023,4.2,0.1,75.6,20.454,rain,0,29.1,13.4,19.3,1.6,1,10,2023-02-12T07:03:13,2023-02-12T17:42:05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,,workday
2/13/2023,8.2,-4,46.8,0.573,rain,0,25.4,16,118,10.1,6,10,2023-02-13T07:02:02,2023-02-13T17:43:13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,,workday
2/14/2023,8.9,-1.3,51.3,0,nothing,0,16.5,15.9,160,13.9,6,10,2023-02-14T07:00:50,2023-02-14T17:44:21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/15/2023,13.5,4.4,55.3,0.267,rain,0,27,16,113.4,9.8,6,10,2023-02-15T06:59:38,2023-02-15T17:45:29,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,,workday
2/16/2023,12.5,10.2,86.4,3.485,rain,0,18.1,14.2,37.7,3,2,10,2023-02-16T06:58:24,2023-02-16T17:46:36,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,,workday
2/17/2023,10.8,6.3,75.5,17.249,rain,0,40.5,13.9,24.4,2.1,1,10,2023-02-17T06:57:08,2023-02-17T17:47:44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,,workday
2/18/2023,2.7,-8.1,45.6,0,nothing,0,33.9,16,176,15.1,6,10,2023-02-18T06:55:52,2023-02-18T17:48:50,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/19/2023,9.3,0,54,0,nothing,0,32.3,16,155.7,13.6,7,10,2023-02-19T06:54:35,2023-02-19T17:49:57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
2/20/2023,11.3,5.7,69.3,0,nothing,0,20.3,16,61.4,5.2,3,10,2023-02-20T06:53:16,2023-02-20T17:51:03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,holidays
2/21/2023,12.3,3.5,59.1,0.278,rain,0,25.3,16,134.1,11.4,6,10,2023-02-21T06:51:57,2023-02-21T17:52:09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,,workday
2/22/2023,9.2,0.1,54,0.502,rain,0,19.8,16,62.8,5.5,4,10,2023-02-22T06:50:36,2023-02-22T17:53:15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,,workday
2/23/2023,13.9,7.5,68,0,nothing,0,17.4,15.7,140.8,12.2,7,10,2023-02-23T06:49:15,2023-02-23T17:54:20,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,,workday
2/24/2023,12.6,-2.6,35.7,0,nothing,0,44.4,16,148.3,12.9,7,10,2023-02-24T06:47:53,2023-02-24T17:55:25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,,workday
2/25/2023,2.5,-3.8,65.4,0.272,rain,0,19.4,14.9,35.1,3,2,10,2023-02-25T06:46:29,2023-02-25T17:56:30,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,,workday
2/26/2023,6.8,2,73.2,0,nothing,0,21.7,15.3,147.6,12.8,7,10,2023-02-26T06:45:05,2023-02-26T17:57:34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
